Word,Frequency
khachanov,135
khaleel,618
khan,5061
khanna,62
kharab,37
kharb,396
khejroliya,88
kholmurodov,2
khona,11
kick,1849
kicked,646
kickoff,230
kickstart,71
kid,2036
kidambi,476
kieron,96
killer,151
kim,1904
kind,3574
king,6360
kingsley,11
kiran,1390
kishan,683
kishanrohit,1
kishore,255
kit,271
kiwi,749
kjær,6
kkr,5040
kl,2721
klaasen,993
knew,2204
knight,4008
knock,2366
knockout,1567
know,13152
knowledge,475
known,6168
ko,556
kock,517
koepka,10
kohli,14256
kolkata,4388
kom,741
konjengbam,171
kookaburra,145
korea,1571
korean,1116
kotian,220
kovacic,14
kremlev,85
krishan,129
krishna,982
krishnan,62
kristin,109
kroos,51
krunal,459
kryger,6
kuldeep,2012
kulwant,88
kumar,4649
kushagra,198
kuuba,23
ky,43
kyle,758
la,4279
laced,104
lack,2014
lacked,443
lackluster,319
lacklustre,105
lad,275
ladder,926
lajong,22
lake,373
lakh,11649
lakhpat,15
lakshya,2674
lalit,194
lalthuammawia,11
landed,809
lapse,223
lara,384
large,639
largely,677
larger,308
lasted,1331
lasting,810
latched,32
late,3833
later,6817
latest,3062
laugh,594
laughter,288
launch,535
launched,830
laurel,67
law,439
layer,497
layoff,76
le,2374
lead,13670
leader,2952
leaderboard,175
leadership,4026
leading,7075
leaf,1183
league,20039
learn,1465
learned,814
learning,1182
learnt,927
leave,2666
leaving,3952
led,7829
lee,2230
left,9854
leg,2827
legacy,2897
legal,1508
legend,5983
legendary,3081
